PU_Gap_Code,PU_Code,Gap_Code,HUC8_Basin_Name,CREP_Area,CRP_Area,NRCS_Area,CSP_Area,FDA_Area,IDNR_Area,NP_Area,All_Conservation_Area,Total_Area,Shape_Length,Shape_Area,CRP_Percent,CREP_Percent,NRCS_Percent,CSP_Percent,FDA_Percent,INDR_Percent,NP_Percent,Total_Conservation_Percent,size_class,C_Order,Link,DS_Order,DS_Link,US_L3NAME,NA_L2NAME,EPA_REGION
kasky3693,kasky,3693,Middle,0,307392.5871,0,135926.9953,137664.6771,0,0,580984.2595,7636476.869,21920.46319,7651437.624,0.040253194,0,0,0.0177997,0.01802725,0,0,0.076080144,1,1,1,4,85,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3694,kasky,3694,Lower,0,0,0,0,0,0,0,0,1339277.092,6156.139198,1340505.126,0,0,0,0,0,0,0,0,1,3,10,3,11,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3695,kasky,3695,Lower,0,0,0,0,0,0,0,0,4553030.131,15235.08587,4557136.159,0,0,0,0,0,0,0,0,1,1,1,3,11,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3696,kasky,3696,Lower,0,0,0,0,0,0,0,0,2722269.236,12736.17908,2725293.287,0,0,0,0,0,0,0,0,1,2,3,5,194,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3697,kasky,3697,Lower,0,0,0,0,0,0,0,0,4801263.57,14908.71594,4806424.87,0,0,0,0,0,0,0,0,2,5,191,5,194,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3698,kasky,3698,Middle,0,62525.54164,0,90197.61895,5780.452216,0,0,158503.6128,1008133.986,5736.47314,1010065.803,0.062021063,0,0,0.089469872,0.005733813,0,0,0.157224749,2,4,85,4,86,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3699,kasky,3699,Shoal,0,0,0,0,24323.52361,0,0,24323.52361,3423791.712,14006.30443,3428880.673,0,0,0,0,0.007104265,0,0,0.007104265,1,1,1,6,388,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky37,kasky,37,Upper,0,0,0,0,0,0,0,0,492154.9984,4652.139882,493713.0685,0,0,0,0,0,0,0,0,1,2,2,2,3,Central Corn Belt Plains,CENTRAL USA PLAINS,5
kasky370,kasky,370,Upper,0,0,0,0,0,842535.4642,0,842535.4642,1073650.393,6825.516365,1076359.218,0,0,0,0,0,0.784739119,0,0.784739119,2,4,25,5,79,Central Corn Belt Plains,CENTRAL USA PLAINS,5
kasky3700,kasky,3700,Middle,0,1254649.594,0,46456.94657,0,0,0,1301106.54,2660443.369,12138.9227,2666135.039,0.471594174,0,0,0.017462107,0,0,0,0.489056281,1,1,1,2,2,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3701,kasky,3701,Middle,0,0,0,0,0,0,0,0,57318.45627,1328.628108,57439.5732,0,0,0,0,0,0,0,0,1,2,2,3,25,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3702,kasky,3702,Lower,0,64468.3788,0,0,2355.316469,0,0,66823.69527,1543990.663,8391.17776,1546068.625,0.041754384,0,0,0,0.001525473,0,0,0.043279857,1,2,6,4,68,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3703,kasky,3703,Lower,0,503841.9078,0,0,12032.23574,0,0,515874.1435,954447.7921,6399.000242,955716.495,0.527888389,0,0,0,0.012606489,0,0,0.540494879,2,4,62,4,68,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3704,kasky,3704,Middle,0,128921.5991,0,0,0,0,0,128921.5991,795225.831,5374.767712,796897.7837,0.162119481,0,0,0,0,0,0,0.162119481,2,3,25,3,90025,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
kasky3705,kasky,3705,Middle,0,0,0,0,0,0,0,0,2112668.282,10264.03583,2116114.872,0,0,0,0,0,0,0,0,1,1,1,6,984,Interior River Valleys and Hills,SOUTHEASTERN USA PLAINS,4
